,Total Return (%),Sharpe Ratio,Max Drawdown (%),Win Rate,Annualised Volatility
Buy and Hold,130.77344815184003,0.7784877952123389,-33.71726435356454,0.5525265957446809,0.20752461783965545
Moving Average Crossover,91.99749797427454,0.9268990575062923,-18.755234489427313,0.5596153846153846,0.126362288215525
Momentum,99.19903304368195,1.0187468035512357,-13.336288858090725,0.5594541910331384,0.12033194908933931
Mean Reversion,37.72557131780773,0.714388278125551,-8.329674494669598,0.5735294117647058,0.07924086632000166
RSI,19.26769219692799,0.4651888720262983,-9.567710658242099,0.5333333333333333,0.06840631072492064
Bollinger Band,-4.5088545310324095,-0.3081538081133858,-8.375109457657771,0.5142857142857142,0.02410249940926409
MACD,50.42433070671132,0.6331294469821209,-15.04915043798122,0.5464968152866242,0.11912182289656768
Volatility Breakout,-7.779780904897257,-0.4803209433842095,-7.779780904897257,0.5,0.027414971696203282
