,Total Return,Sharpe ratio,Max Drawdown,Win Rate,Annualised Volatility
Moving Average Crossover,0.33729559264045994,0.32185692556584966,-30.305564529543606,0.5245746691871456,0.20708230255368618
Momentum,2.0907053677799596,0.9667143016520827,-25.422339348311603,0.5252016129032258,0.20237119920641106
Mean Reversion,-0.020969226902886717,0.022094964837605598,-27.95583703753623,0.42857142857142855,0.10902635815859156
RSI,0.6033417615786427,0.7761936249746434,-9.254758435536207,0.569620253164557,0.10067906353335676
Bollinger Band,-0.019244085239759956,-0.0188824591129283,-17.79396905581184,0.4528301886792453,0.06114432817685088
MACD,2.025018181014686,0.9870386234699164,-20.88968516961409,0.5379061371841155,0.19305329727688886
Volatility Breakout,-0.17957333790634455,-0.40558044882550154,-21.332621792927657,0.41025641025641024,0.06948827795625011
